complex_id,prepare,dock,rmsd,features,total_s
7V3S_5I9,0.065,10.805,0.006,3.538,14.414
7V43_C4O,0.126,0.7,0.002,2.606,3.4339999999999997
7VB8_STL,0.245,2.066,0.004,3.629,5.944
7VBU_6I4,0.09,1.026,0.004,1.896,3.016
7VC5_9SF,0.14,3.635,0.004,2.986,6.765000000000001
7VKZ_NOJ,0.609,1.438,0.001,3.977,6.0249999999999995
7VQ9_ISY,0.099,2.527,0.002,2.696,5.324
7VWF_K55,0.126,9.931,0.007,3.745,13.808999999999997
7VYJ_CA0,0.612,6.866,0.005,4.38,11.863
7W05_GMP,0.035,2.634,0.004,1.129,3.802
7W06_ITN,0.045,1.102,0.001,1.562,2.71
7WCF_ACP,0.091,12.101,0.009,4.041,16.242
7WDT_NGS,0.277,3.376,0.002,3.258,6.913
7WJB_BGC,0.307,1.612,0.002,2.589,4.51
7WKL_CAQ,0.472,1.015,0.003,2.781,4.271
7WL4_JFU,0.125,6.902,0.006,3.458,10.491
7WPW_F15,0.032,4.364,0.003,2.099,6.498
7WQQ_5Z6,0.114,5.654,0.004,2.066,7.837999999999999
7WUX_6OI,0.688,4.703,0.002,3.586,8.979
7WUY_76N,0.316,5.935,0.003,4.242,10.495999999999999
7WY1_D0L,0.346,0.004,0.0,0.0,0.35
7X5N_5M5,0.245,5.28,0.001,2.899,8.425
7X9K_8OG,0.042,4.818,0.005,1.172,6.036999999999999
7XBV_APC,0.097,14.231,0.009,3.848,18.185
7XFA_D9J,0.033,12.517,0.008,2.079,14.636999999999999
7XG5_PLP,0.206,2.27,0.004,3.393,5.872999999999999
7XI7_4RI,0.048,3.268,0.004,2.494,5.814
7XJN_NSD,0.402,2.041,0.001,3.115,5.559
7XPO_UPG,0.184,16.619,0.007,4.58,21.39
7XQZ_FPF,0.124,6.983,0.002,4.502,11.610999999999999
7XRL_FWK,0.699,2.491,0.004,4.867,8.061
7YZU_DO7,0.129,2.567,0.001,2.822,5.519
7Z1Q_NIO,0.05,0.712,0.003,1.59,2.355
7Z2O_IAJ,0.082,0.918,0.003,1.723,2.726
7Z7F_IF3,0.068,1.133,0.003,1.898,3.102
7ZCC_OGA,1.154,1.399,0.001,3.267,5.821
7ZDY_6MJ,0.545,1.229,0.001,3.383,5.1579999999999995
7ZF0_DHR,0.207,1.029,0.003,2.892,4.131
7ZHP_IQY,0.083,11.312,0.005,2.801,14.201
7ZL5_IWE,0.13,3.525,0.005,2.703,6.3629999999999995
7ZOC_T8E,0.144,1.636,0.004,2.447,4.231
7ZTL_BCN,0.082,2.074,0.001,2.24,4.397
7ZU2_DHT,0.064,1.702,0.001,2.117,3.884
7ZXV_45D,0.122,12.06,0.001,3.209,15.392
7ZZW_KKW,0.462,4.737,0.006,3.872,9.077
8A1H_DLZ,0.367,4.809,0.002,3.053,8.231
8A2D_KXY,0.077,17.559,0.009,3.699,21.344
8AAU_LH0,0.067,3.402,0.005,2.626,6.1
8AEM_LVF,0.099,1.023,0.003,2.542,3.667
8AIE_M7L,0.174,7.732,0.006,6.005,13.917000000000002
8AP0_PRP,0.09,6.466,0.003,3.352,9.911
8AQL_PLG,0.627,5.305,0.005,4.797,10.733999999999998
8AUH_L9I,0.219,1.238,0.001,2.865,4.323
8AY3_OE3,0.126,3.069,0.005,3.663,6.8629999999999995
8B8H_OJQ,0.38,4.661,0.005,3.695,8.741
8BOM_QU6,0.092,6.156,0.006,3.022,9.276
8BTI_RFO,0.092,1.364,0.003,2.889,4.348
8C3N_ADP,0.05,7.694,0.006,2.237,9.987
8C5M_MTA,0.136,2.709,0.004,2.519,5.368
8CNH_V6U,0.288,5.198,0.003,3.79,9.279
8CSD_C5P,0.457,4.514,0.005,3.557,8.533
8D19_GSH,0.25,6.642,0.002,3.294,10.188
8D39_QDB,0.116,2.048,0.002,2.526,4.692
8D5D_5DK,0.591,9.594,0.009,5.039,15.232999999999999
8DHG_T78,0.093,7.879,0.001,2.117,10.09
8DKO_TFB,0.263,0.858,0.001,2.866,3.988
8DP2_UMA,0.15,43.577,0.009,4.9,48.635999999999996
8DSC_NCA,0.309,0.83,0.003,3.288,4.43
8EAB_VN2,0.064,25.118,0.059,2.787,28.028
8EX2_Q2Q,0.11,2.518,0.007,2.587,5.2219999999999995
8EXL_799,0.238,17.47,0.007,4.075,21.79
8EYE_X4I,0.416,7.319,0.006,6.027,13.768
8F4J_PHO,31.42,66.6,0.003,0.793,98.816
8F8E_XJI,0.148,6.998,0.005,3.259,10.41
8FAV_4Y5,0.21,7.811,0.001,3.562,11.584
8FLV_ZB9,0.068,5.147,0.005,2.857,8.077
8FO5_Y4U,0.236,1.596,0.004,2.487,4.323
8G0V_YHT,0.761,5.729,0.005,4.876,11.371
8G6P_API,0.165,2.797,0.002,2.081,5.045
8GFD_ZHR,0.203,6.557,0.005,3.564,10.329
8HFN_XGC,0.125,5.339,0.005,3.607,9.076
8HO0_3ZI,0.095,2.202,0.005,2.975,5.277
8SLG_G5A,0.338,7.26,0.005,6.095,13.698
